epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,569.037,0.66044,0.77693,0.98289,0.844,0.83466,0.90798,0.73705,0.75236,0.90711,1.04441,0.000657778,0.000657778,0.000657778
2,1093.62,0.69151,0.77559,0.97119,0.8464,0.82275,0.90378,0.71494,0.77277,0.91187,1.04481,0.00129822,0.00129822,0.00129822
3,1624.17,0.71576,0.78897,0.99444,0.88497,0.87302,0.92357,0.73311,0.79117,0.96071,1.08372,0.00191226,0.00191226,0.00191226
4,2137.86,0.71842,0.7326,0.98714,0.90357,0.86757,0.93058,0.74533,0.78146,0.83977,1.0432,0.0018812,0.0018812,0.0018812
5,2663.01,0.67143,0.65872,0.95666,0.87299,0.89099,0.94035,0.76042,0.76751,0.79396,1.02139,0.0018416,0.0018416,0.0018416
6,3186.76,0.66155,0.61947,0.9545,0.92121,0.87169,0.94486,0.7871,0.71714,0.74898,1.00699,0.001802,0.001802,0.001802
7,3704.13,0.63935,0.59904,0.94223,0.88957,0.88444,0.94594,0.79856,0.6693,0.71805,0.96723,0.0017624,0.0017624,0.0017624
8,4220.13,0.63918,0.5851,0.94337,0.90195,0.92063,0.96373,0.80937,0.65748,0.62161,0.96484,0.0017228,0.0017228,0.0017228
9,4705.85,0.6368,0.59246,0.94965,0.8924,0.93519,0.95873,0.80803,0.65508,0.63317,0.95394,0.0016832,0.0016832,0.0016832
10,5180.95,0.60458,0.5619,0.93358,0.93159,0.94444,0.96841,0.83064,0.62115,0.54237,0.96031,0.0016436,0.0016436,0.0016436
11,5648.4,0.59049,0.53415,0.92415,0.9136,0.93651,0.95734,0.8124,0.6432,0.56917,0.96354,0.001604,0.001604,0.001604
12,6128.47,0.56644,0.5096,0.92704,0.94086,0.90491,0.96964,0.83135,0.62897,0.5758,0.94136,0.0015644,0.0015644,0.0015644
13,6625.84,0.57596,0.4958,0.91601,0.9297,0.93783,0.97611,0.84518,0.6113,0.51821,0.93733,0.0015248,0.0015248,0.0015248
14,7138.04,0.58147,0.49451,0.91733,0.94865,0.93519,0.97509,0.83412,0.63629,0.5227,0.95302,0.0014852,0.0014852,0.0014852
15,7726.74,0.55612,0.45867,0.90575,0.94986,0.92593,0.9732,0.84048,0.60393,0.52643,0.93159,0.0014456,0.0014456,0.0014456
16,8331.56,0.5529,0.45609,0.9082,0.94107,0.90823,0.97246,0.84021,0.58139,0.49166,0.93339,0.001406,0.001406,0.001406
17,8931.95,0.51786,0.44057,0.89279,0.94059,0.92593,0.97955,0.85698,0.57405,0.49137,0.9141,0.0013664,0.0013664,0.0013664
18,9530.83,0.54825,0.4554,0.90664,0.94102,0.9418,0.97359,0.8633,0.56038,0.55465,0.91137,0.0013268,0.0013268,0.0013268
19,10063.1,0.52661,0.46206,0.9111,0.95866,0.96561,0.98556,0.87423,0.52405,0.43429,0.89795,0.0012872,0.0012872,0.0012872
20,10566.6,0.50729,0.41243,0.89439,0.94412,0.94709,0.97956,0.86866,0.55644,0.44335,0.90279,0.0012476,0.0012476,0.0012476
21,11064.4,0.49873,0.42454,0.88933,0.96433,0.95238,0.97975,0.8679,0.54257,0.45538,0.90092,0.001208,0.001208,0.001208
