epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.386,1.45291,1.61728,1.26707,0.70798,0.50626,0.54073,0.28497,1.35521,1.21105,1.21471,0.00332983,0.00332983,0.00332983
2,399.168,1.42169,1.33265,1.24847,0.66006,0.47261,0.52005,0.26387,1.50738,1.30484,1.34306,0.00653123,0.00653123,0.00653123
3,594.21,1.46619,1.35311,1.28874,0.62542,0.46107,0.49739,0.23589,1.64559,1.3848,1.44215,0.00960063,0.00960063,0.00960063
4,794.8,1.48902,1.36154,1.30931,0.67851,0.48039,0.53094,0.26883,1.57312,1.32053,1.39476,0.009406,0.009406,0.009406
5,999.847,1.4428,1.29174,1.28839,0.68445,0.5201,0.56948,0.29649,1.52421,1.21833,1.38117,0.009208,0.009208,0.009208
6,1206.33,1.40256,1.23895,1.26471,0.69534,0.4995,0.55176,0.29557,1.51248,1.20456,1.35531,0.00901,0.00901,0.00901
7,1407.92,1.37109,1.20434,1.25051,0.7252,0.52364,0.59191,0.32559,1.44749,1.132,1.32721,0.008812,0.008812,0.008812
8,1608.53,1.35224,1.17492,1.23703,0.72066,0.52955,0.58842,0.32326,1.4505,1.11254,1.32612,0.008614,0.008614,0.008614
9,1796.26,1.32575,1.14555,1.22528,0.73048,0.53302,0.59636,0.33335,1.41522,1.08589,1.31198,0.008416,0.008416,0.008416
10,1984.23,1.30798,1.12053,1.21468,0.75296,0.53959,0.61012,0.34215,1.4111,1.04801,1.30664,0.008218,0.008218,0.008218
11,2173.17,1.30026,1.10855,1.20895,0.74739,0.55594,0.62081,0.35056,1.38565,1.03464,1.28166,0.00802,0.00802,0.00802
12,2360.6,1.27812,1.08388,1.19754,0.73404,0.56379,0.63047,0.35738,1.3706,1.01436,1.26545,0.007822,0.007822,0.007822
13,2557.9,1.2664,1.07379,1.19469,0.76143,0.57006,0.64944,0.36572,1.37607,0.99963,1.27552,0.007624,0.007624,0.007624
14,2762.22,1.25337,1.05387,1.18525,0.74906,0.57373,0.63671,0.3669,1.35296,0.99592,1.26454,0.007426,0.007426,0.007426
15,2965.25,1.2338,1.04083,1.178,0.77498,0.57639,0.66243,0.38172,1.33734,0.94798,1.2481,0.007228,0.007228,0.007228
16,3166.45,1.22481,1.02555,1.1735,0.77603,0.57214,0.65347,0.38195,1.32561,0.94781,1.24502,0.00703,0.00703,0.00703
